Gene Name,Common-Name,Accession-1
EG11744,pqqL,b1494
G6476,ssuC,b0934
G6371,ybfN,b0682
EG10499,ilvH,b0078
G6449,rlmC,b0859
EG12193,cbpA,b1000
EG11009,tolC,b3035
EG12260,bcsA,b3533
G6592,ymfM,b1148
EG12136,mdtD,b2077
G0-10456,yoeF,b4538
EG11652,degS,b3235
G7312,yfgD,b2495
G6416,rlmF,b0807
EG10616,mtlD,b3600
EG11392,nhaB,b1186
G6989,yeaX,b1803
EG12259,bcsB,b3532
G6591,ymfL,b1147
G6411,ybhF,b0794
EG11725,yieH,b3715
EG10526,lacY,b0343
G6354,ybeT,b0647
EG10496,ilvD,b3771
G6364,miaB,b0661
EG12048,yejK,b2186
EG11003,tig,b0436
EG11926,yjbH,b4029
G6590,ymfT,b1146
EG10622,murF,b0086
G0-10443,ymdF,b4518
EG11260,yifB,b3765
G7139,rcnB,b2107
G6245,queC,b0444
EG10577,melA,b4119
G6988,yeaW,b1802
EG11925,yjbG,b4028
G6589,ymfK,b1145
G6218,tauB,b0366
EG11571,yabI,b0065
G6466,ycaM,b0899
G6352,ybeR,b0645
EG10495,ilvC,b3774
G6238,thiI,b0423
EG11016,tpr,b1229
EG10955,prlF,b3129
EG11924,yjbF,b4027
G6588,ymfJ,b1144
EG12134,rhtA,b0813
G0-10441,cydX,b4515
G0-9941,sgrS,b4577
G7055,hchA,b1967
EG12876,tusE,b0969
EG10559,malM,b4037
EG11380,appC,b0978
G6982,yoaG,b1796
EG10609,mreC,b3250
G6587,ymfI,b1143
EG12903,yheS,b3352
EG11548,lhr,b1653
EG10522,kgtP,b2587
G6351,ybeQ,b0644
EG10494,ilvB,b3671
EG12609,rluA,b0058
EG11497,prmA,b3259
EG10935,sdiA,b1916
G6586,ymfH,b1142
EG10621,murE,b0085
G0-10438,ybdD,b4512
G0-9611,sokB,b4429
G6967,yeaE,b1781
EG12433,rluB,b1269
G6974,yoaI,b1788
EG10527,lacZ,b0344
G6585,xisE,b1141
EG12837,yhdZ,b3271
EG11542,tesA,b0494
G6464,ftsK,b0890
G6331,ybdN,b0602
EG10493,ilvA,b3772
EG12401,rlmN,b2517
G7511,ygfZ,b2898
EG10618,mukB,b0924
G6583,ymfE,b1138
EG12129,uraA,b2497
G0-10434,ykgO,b4506
G0-9608,rdlC,b4424
G6932,hxpB,b1727
EG12366,rsmE,b2946
EG11379,appB,b0979
G6963,ydjL,b1776
EG10524,lacA,b0342
G6582,ymfD,b1137
EG12801,mlaF,b3195
EG11540,wrbA,b1004
EG10521,kefC,b0047
G6325,ybdJ,b0580
EG11577,leuB,b0073
EG12234,rlmJ,b3499
G7311,bepA,b2494
EG10600,groS,b4142
G6317,tfaX,b0563
EG10620,murD,b0088
EG12881,yfaH,b2238
G0-9606,rdlB,b4422
G6890,nemA,b1650
EG12233,rsmJ,b3497
G6961,ydjJ,b1774
EG10381,glgX,b3431
G6316,ybcY,b0562
EG12663,gltL,b0652
EG11488,mliC,b1639
G6462,macB,b0879
G6216,yaiS,b0364
EG11576,leuC,b0072
EG12216,tusA,b3470
G7307,hyfJ,b2490
EG10599,groL,b4143
G6315,tfaD,b0561
EG12128,lgt,b2828
